,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 2, 0, 1, 1, 0)",215039,257510,249416,241681,234280,227191,220395,213872,207607,201585,195791,190214,184840,179661
"Z(2, 2, 0, 1, 1, 1)",215039,257510,251297,245350,239649,234178,228921,223865,218997,214306,209781,205413,201193,197112
"Z(2, 2, 0, 1, 1, 2)",215039,257510,253002,248578,244236,239975,235793,231689,227660,223706,219825,216015,212275,208604
"Z(2, 2, 0, 1, 2, 0)",215039,257510,249544,241922,234622,227623,220906,214453,208250,202282,196535,190999,185661,180512
"Z(2, 2, 0, 1, 2, 1)",215039,257510,249212,241318,233793,226613,219752,213188,206901,200874,195090,189535,184196,179059
"Z(2, 2, 0, 1, 2, 2)",215039,257510,245565,234357,223814,213880,204505,195643,187253,179299,171750,164577,157754,151257
"Z(2, 2, 0, 1, 3, 0)",215039,257510,248885,240664,232819,225327,218163,211309,204745,198454,192421,186631,181070,175727
"Z(2, 2, 0, 1, 3, 1)",215039,257510,245548,234342,223815,213911,204576,195761,187426,179532,172047,164940,158186,151759
"Z(2, 2, 0, 1, 3, 2)",215039,257510,245134,233544,222662,212430,202792,193699,185107,176978,169277,161972,155038,148446
"Z(2, 2, 1, 0, 0, 0)",215039,257510,250726,244219,237968,231955,226165,220584,215198,209996,204966,200101,195390,190826
"Z(2, 2, 1, 0, 0, 1)",215039,257510,248149,239344,231038,223188,215754,208699,201994,195609,189522,183709,178152,172832
"Z(2, 2, 1, 0, 0, 2)",215039,257510,260408,263237,265997,268685,271302,273846,276317,278713,281036,283284,285457,287555
"Z(2, 2, 1, 0, 1, 0)",215039,257510,250777,244325,238133,232185,226463,220953,215643,210521,205575,200796,196175,191704
