,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 1, 1, 0, 1, 0)",19645,19951,20254,20546,20823,21090,21342,21582,21447,21172,20907,20487,20060,19652
"Z(1, 1, 1, 0, 1, 1)",20105,20515,20915,21304,21678,22046,22402,22749,23088,23422,23741,24048,24264,24439
"Z(1, 1, 1, 0, 1, 2)",18470,18332,18219,18125,18043,17980,17927,17887,17857,17839,17825,17816,17811,17810
"Z(1, 1, 1, 0, 2, 0)",18925,18946,18980,19022,19069,19126,19188,19255,19328,19408,19487,19567,19647,19726
"Z(1, 1, 1, 0, 2, 1)",21135,21990,22786,23523,24202,24836,25422,25969,26481,26964,27411,27827,28215,28576
"Z(1, 1, 1, 0, 2, 2)",21321,22174,22989,23761,24488,25180,25832,26451,27040,27604,28136,28639,29115,29565
"Z(1, 1, 1, 0, 3, 0)",19780,20077,20374,20669,20957,21247,21532,21818,22102,22389,22671,22948,23221,23490
"Z(1, 1, 1, 0, 3, 1)",23647,25102,26536,27940,29308,30651,31960,33242,34498,35734,36938,38114,39262,40384
"Z(1, 1, 1, 0, 3, 2)",24026,25740,27369,28923,30408,31843,33227,34572,35882,37167,38418,39639,40834,42005
"Z(1, 1, 1, 1, 0, 0)",7324,7048,6793,6555,6332,6124,5927,5743,5568,5405,5248,5099,4956,4819
"Z(1, 1, 1, 1, 0, 1)",17199,16995,16534,15995,15489,15018,14574,14156,13763,13393,13040,12702,12380,12072
"Z(1, 1, 1, 1, 0, 2)",11978,11609,11268,10951,10654,10377,10116,9871,9640,9424,9217,9019,8830,8648
"Z(1, 1, 1, 1, 1, 0)",20228,20551,20871,21182,21479,21767,22040,22302,22551,22287,21985,21695,21264,20800
